metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1766542182.2767,elite,141.75461858129,1761065821.2708,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767115147,1767602771.0267,80,http,8.35.211.186:80,False,199.27144050598,45443,94,99.793574455937,8.35.211.186
True,1766929079.5125,elite,120.39691143439,1742426572.5288,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767082910,1767602770.8232,80,http,216.205.52.202:80,False,56.361436843872,111570,3460,96.992089020256,216.205.52.202
True,1766779429.6272,elite,142.59049618073,1761067015.3677,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767116369,1767602770.7371,80,http,102.177.176.169:80,False,93.425989151001,42923,597,98.628216911765,102.177.176.169
True,1766378601.1215,elite,142.62908727265,1761066591.8386,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767116071,1767602770.6295,80,http,108.162.192.81:80,False,49.072504043579,45491,101,99.778469907001,108.162.192.81
True,1767292386.8833,elite,120.70121450701,1742337257.7405,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083167,1767602770.4517,80,http,45.67.215.255:80,False,93.424081802368,112223,1080,99.046803703344,45.67.215.255
True,1766156193.4823,elite,119.02589210326,1720526643.2745,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1767083312,1767602770.3969,80,http,170.114.45.1:80,False,98.319292068481,111139,1923,98.299163290938,170.114.45.1
True,1766912375.3681,elite,120.13063909935,1742457150.2842,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083250,1767602770.0349,80,http,216.205.52.217:80,False,135.11204719543,111581,1042,99.074789341431,216.205.52.217
True,1766542112.9035,elite,143.53596102132,1765208701.7276,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767023429,1767602770.0035,80,http,141.101.113.176:80,False,264.84704017639,15784,4,99.974664302002,141.101.113.176
True,1766468284.4239,elite,131.4388962658,1756298934.3644,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767186805,1767602769.6166,80,http,216.205.52.116:80,False,211.3893032074,75588,203,99.732158171815,216.205.52.116
True,1766964213.4033,elite,142.74429849398,1761066147.3603,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767115589,1767602769.5557,80,http,216.205.52.184:80,False,48.946857452393,44317,97,99.781600396271,216.205.52.184
True,1766836139.5838,elite,120.24448347687,1742486538.8274,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767083859,1767602769.55,80,http,69.84.182.168:80,False,60.975790023804,115162,3387,97.142953546635,69.84.182.168
