alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759208203.606,elite,110.10282860084,1742380724.5368,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244388,1762843367.5724,80,http,45.67.215.38:80,false,70.557355880737,80176,3374,95.961699581089,45.67.215.38
true,1758995125.9403,elite,134.68140270719,1758995125.9403,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762624247,1762843367.5619,80,http,108.162.195.110:80,false,81.030607223511,28914,0,100,108.162.195.110
true,1759218138.4262,elite,109.82846916151,1742460956.4247,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762244122,1762843367.4746,80,http,216.205.52.104:80,false,61.372756958008,79802,3336,95.987394452597,216.205.52.104
true,1761066650.9817,elite,138.02746751223,1761066650.9817,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1762276673,1762843367.4001,80,http,102.177.176.198:80,false,354.75182533264,12351,0,100,102.177.176.198
true,1761068365.3288,elite,138.09591308794,1761068365.3288,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762278132,1762843367.3745,80,http,8.35.211.179:80,false,369.56644058228,12834,0,100,8.35.211.179
true,1759218115.692,elite,110.00930735855,1742335602.6113,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762244232,1762843367.2161,80,http,102.177.176.145:80,false,123.50034713745,77983,1552,98.0486578236,102.177.176.145
true,1759208305.3239,elite,109.94562897732,1742426578.2423,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244513,1762843367.1902,80,http,170.114.45.224:80,false,40.489196777344,79632,3505,95.78406726247,170.114.45.224
true,1758178376.5647,elite,110.70381260141,1742394484.397,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244392,1762843367.0928,80,http,45.67.215.254:80,false,47.266483306885,80449,3396,95.949669032143,45.67.215.254
true,1762129063.7297,elite,110.59903708504,1742490215.4439,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762244501,1762843367.0722,80,http,216.205.52.126:80,false,66.121578216553,79722,870,98.920488385944,216.205.52.126
true,1761065082.988,elite,138.2553100624,1761065082.988,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762274688,1762843366.9805,80,http,141.101.114.193:80,false,49.998760223389,12521,0,100,141.101.114.193
true,1759536417.1654,elite,110.48352913793,1734611136.7117,"AS19424 Cars Commerce",CV-NET-1,Chicago,"North America",NA,"United States",US,"West Loop",false,"Classified Ventures",41.8776,-87.6386,false,"Classified Ventures",true,Illinois,success,America/Chicago,60606,1762244586,1762843366.9078,80,http,74.119.99.46:80,false,29.700040817261,81557,1018,98.767181350288,74.119.99.46
true,1761555606.2464,elite,109.70150496915,1750622747.1881,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244021,1762843366.8735,80,http,170.114.45.137:80,false,59.577941894531,79137,93,99.882620219614,170.114.45.137
true,1758183906.5948,elite,109.86909172567,1742680579.4041,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762538836,1762843366.8544,80,http,45.67.215.20:80,false,49.839735031128,80638,1075,98.684419859753,45.67.215.20
true,1758177250.4946,elite,110.00930743239,1742480331.966,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762243960,1762843366.8066,80,http,69.84.182.235:80,false,128.71885299683,81960,900,98.913830557567,69.84.182.235
true,1759208438.7392,elite,109.86332417791,1720501804.1426,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762243818,1762843366.5812,80,http,108.162.192.173:80,false,208.69278907776,82756,4862,94.450911913077,108.162.192.173
true,1761555540.4298,elite,143.09531286965,1761067530.386,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762277495,1762843366.5489,80,http,8.35.211.168:80,false,137.98356056213,12812,1,99.99219542652,8.35.211.168
